,Alcohol,Alzheimers & Dementia,Anemia,Asthma,Birth Trauma,Bladder Cancer,Breast Cancer,Cervical Cancer,Colon-Rectum Cancers,Congenital Anomalies,Coronary Heart Disease,Diabetes Mellitus,Diarrhoeal diseases,Drownings,Drug Use,Endocrine Disorders,Falls,Fires,Hepatitis C,HIV/AIDS,Hypertension,Inflammatory/Heart,Kidney Disease,Leukemia,Liver Cancer,Liver Disease,Low Birth Weight,Lung Cancers,Lung Disease,Malaria,Malnutrition,Multiple Sclerosis,Oesophagus Cancer,Oral Cancer,Ovary Cancer,Pancreas Cancer,Peptic Ulcer Disease,Poisonings,Prostate Cancer,Rheumatic Heart Disease,Road Traffic Accidents,Skin Cancers,Skin Disease,Stomach Cancer,Stroke,Suicide,Tuberculosis,Uterin Cancer,Labor Force ,Electricity Production ,Petroleum Consumption ,Total Fertility Rates ,Young Population ,Natural Gas Consumption ,Infant Mortality Rates ,Natural Gas Production ,Taxes ,Maternal Mortality Rates ,Gross Domestic Product (GDP) ,Imports ,Older Population ,Carbon Dioxide Emissions ,Obesity ,Nuclear Electricity ,Electricity by Renewable Sources ,Natural Gas Imports ,Population ,Median Age ,Unimproved Drinking Water Sources ,Crude Oil Exports ,Hydro Electricity ,Electricity Consumption ,Inflation Rates ,External Debts ,Crude Oil Imports ,Birth Rates ,Deaths per Day,Life Expectancy,Emerging Countries,Global North Countries,Global South Countries,Medical Bankruptcies by Country,Richest Countries in the World,Social Mobility by Country,Countries by IQ - Average IQ by Country,Diabetes Rates by Country,Health Care Costs by Country,Lactose Intolerance by Country,Obesity Rates by Country,Zika Virus Countries
North Korea,117.83,0.0,4.81,2.66,1.61,750.77,2.26,10.37,3.79,105.37,11.82,1.7,4.46,1.24,1.6,6.34,0.9,0.03,2.53,18.24,2.4,750.77,3.44,16.66,14.33,4.39,37.7,87.71,0.0,1.25,0.13,3.8,1.62,5.48,4.85,750.77,1.29,0.69,6.87,22.21,0.55,0.58,11.99,162.14,8.2,57.14,0.43,3.97,14000000.0,16570.0,18000.0,1.91,20.5,0.0,22.42,0.0,11.4,89.0,40000.0,2320.0,9.7,27830000.0,6.8,0.0,0.0,0.0,25643000.0,34.6,0.3,0.0,55.0,13890.0,2.9,5000.0,10640.0,14.35,672.0,72.704,25990679.0,No,Yes,25990679.0,47260000000.0,25990679.0,98.82,0.09,25990679.0,25990679.0,0.068,No mosquitoes that spread Zika
South Sudan,116.83,0.0,10.14,15.46,1.83,1087.76,13.92,7.03,7.99,67.24,28.11,89.87,3.07,0.59,2.34,5.13,3.92,0.18,92.45,26.49,3.15,1087.76,4.9,6.3,33.72,13.19,3.26,20.35,49.7,17.61,0.07,8.47,4.79,12.63,2.21,1087.76,2.36,9.39,1.89,50.94,2.57,1.7,4.83,78.18,6.69,53.5,1.32,20.51,4596500.0,413.0,8000.0,5.43,41.6,0.0,64.77,0.0,16.6,1150.0,20010.0,3795.0,2.5,1224000.0,6.6,0.0,1.0,0.0,10561000.0,18.6,41.3,147300.0,0.0,392.0,1879.0,21005.0,0.0,38.26,320.0,58.476,11618511.0,No,Yes,11618511.0,6710000000.0,11618511.0,58.61,0.07,11618511.0,11618511.0,0.086,With mosquitoes but no reported Zika cases
Liberia,100.35,0.0,8.98,11.43,0.83,1056.11,18.68,3.79,7.74,98.87,31.63,47.97,2.3,1.66,5.61,7.14,3.65,0.14,50.98,18.52,4.81,1056.11,0.66,17.19,34.32,11.72,2.68,15.39,52.62,10.21,0.15,0.64,2.01,9.64,1.56,1056.11,1.76,16.99,2.08,55.89,2.29,1.74,5.47,79.84,7.37,89.99,1.26,13.13,1677000.0,300.0,8000.0,4.84,43.4,0.0,45.98,0.0,28.3,661.0,5074.0,1166.0,2.8,1163000.0,9.9,0.0,0.0,0.0,5073000.0,18.0,24.4,0.0,43.0,279.0,12.4,1111.0,0.0,36.96,103.0,64.72,5305117.0,No,Yes,5305117.0,3040000000.0,5305117.0,45.07,0.02,5305117.0,5305117.0,0.099,With mosquitoes but no reported Zika cases
Peru,108.67,0.0,0.62,1.18,1.35,415.63,5.81,7.86,5.17,39.96,13.28,3.31,1.78,1.92,1.41,3.81,0.72,0.01,2.59,3.06,1.46,415.63,5.62,7.43,19.25,3.18,9.48,7.23,0.11,2.94,0.1,1.17,1.55,8.67,4.82,415.63,0.38,9.13,0.59,13.36,2.31,0.45,15.13,22.6,2.73,7.14,0.92,9.14,17030000.0,50130.0,250000.0,2.02,25.4,7483000.0,19.37,12990000.0,33.7,88.0,407683.0,38650.0,8.1,55940000.0,19.7,0.0,4.0,0.0,32626000.0,29.1,13.3,7995.0,35.0,44610.0,2.8,69780.0,86060.0,16.67,530.0,77.234,33684208.0,No,Yes,33684208.0,205230000000.0,33684208.0,81.44,0.05,33684208.0,33684208.0,0.19699999999999998,Current or past transmission but no Zika outbreak
Cape Verde,128.9,0.0,5.86,1.92,1.29,696.65,6.92,5.57,5.58,122.67,29.83,9.54,5.15,3.13,1.9,6.61,3.16,0.06,6.45,12.84,3.52,696.65,2.72,12.9,24.37,4.59,12.1,15.67,0.0,1.83,0.21,11.35,4.69,7.51,6.72,696.65,0.54,13.45,1.2,31.57,0.71,1.46,17.14,71.23,15.23,4.35,0.58,14.22,196100.0,395.0,5600.0,2.14,28.0,0.0,24.1,0.0,24.1,58.0,3621.0,836.1,5.5,867800.0,11.8,0.0,21.0,0.0,556900.0,26.8,8.3,0.0,0.0,367.0,0.8,1660.0,0.0,18.78,9.0,73.404,567678.0,No,Yes,567678.0,1710000000.0,567678.0,52.5,0.07,567678.0,567678.0,0.11800000000000001,Current or past transmission but no Zika outbreak
Senegal,103.12,0.0,13.53,7.93,2.18,903.33,18.01,5.68,6.71,107.21,37.84,51.31,2.51,1.58,6.44,8.73,3.34,0.13,10.34,17.73,5.54,903.33,1.02,13.96,27.51,8.37,2.59,23.01,42.82,3.5,0.23,1.5,2.75,11.48,2.36,903.33,2.22,11.92,2.15,35.06,2.17,2.18,7.76,87.45,10.99,23.25,1.37,9.23,6966000.0,4167.0,48000.0,3.97,40.4,59460.0,47.72,59460.0,25.8,315.0,53704.0,5217.0,3.1,8644000.0,8.8,0.0,11.0,0.0,16706000.0,19.4,21.5,0.0,7.0,3497.0,1.3,6186.0,17880.0,31.31,255.0,68.59,17653671.0,No,Yes,17653671.0,24530000000.0,17653671.0,77.37,0.03,17653671.0,17653671.0,0.08800000000000001,Current or past transmission but no Zika outbreak
Tonga,153.89,0.0,10.03,1.53,1.61,760.6,9.04,6.32,7.39,113.75,96.55,4.19,4.44,0.51,3.56,3.51,2.69,0.26,0.0,6.71,2.78,760.6,2.95,24.58,21.17,4.96,28.48,34.88,0.0,2.93,0.1,2.1,2.75,6.26,4.31,760.6,1.13,13.38,2.58,38.39,2.61,2.42,13.05,65.01,4.37,1.09,1.87,3.99,33800.0,52.0,900.0,2.81,32.0,0.0,12.73,0.0,30.9,52.0,591.0,250.2,6.8,139700.0,48.2,0.0,26.0,0.0,99800.0,24.1,0.4,0.0,0.0,48.0,7.4,233.1,0.0,20.6,2.0,71.196,107749.0,No,Yes,107749.0,494000000.0,107749.0,83.96,0.15,107749.0,107749.0,0.48200000000000004,Current or past transmission but no Zika outbreak
Bhutan,84.97,0.0,12.98,4.78,1.12,716.91,4.97,4.09,5.36,117.54,27.56,26.23,2.83,0.97,1.66,17.91,1.13,0.14,8.08,12.74,1.24,716.91,2.69,5.9,26.66,7.39,7.68,87.76,0.0,0.49,0.16,7.67,7.12,6.45,3.57,716.91,0.26,0.62,10.92,17.35,1.61,1.19,20.62,60.7,5.07,18.33,0.0,2.26,397900.0,7883.0,3000.0,1.8,24.5,0.0,35.99,0.0,30.7,183.0,7205.0,1025.0,6.6,604900.0,6.4,0.0,0.0,0.0,748900.0,29.1,0.0,0.0,99.0,2184.0,5.8,2261.0,0.0,16.17,14.0,72.472,787941.0,No,Yes,787941.0,2420000000.0,787941.0,87.94,0.1,787941.0,787941.0,0.064,With mosquitoes but no reported Zika cases
Argentina,117.15,1.0,0.71,0.67,2.74,571.75,5.03,15.34,4.87,75.11,11.71,0.93,0.85,1.45,6.33,0.91,0.56,0.22,3.3,8.32,9.11,571.75,4.06,3.6,7.81,3.88,17.98,35.48,0.0,1.38,0.2,3.56,1.96,10.23,7.96,571.75,0.4,7.0,0.23,13.91,1.82,4.81,6.28,36.5,8.14,1.29,1.62,6.09,18000000.0,131900.0,806000.0,2.2,24.0,49040000.0,9.55,40920000.0,21.4,39.0,761389.0,63970.0,12.1,203700000.0,28.3,4.0,3.0,9826000.0,45377000.0,32.4,0.9,36630.0,24.0,121000.0,25.7,155100.0,16740.0,15.8,954.0,77.026,46010234.0,No,Yes,46010234.0,389060000000.0,46010234.0,86.63,0.05,46010234.0,46010234.0,0.28300000000000003,Current or past transmission but no Zika outbreak
Chile,104.03,0.55,0.96,0.55,2.24,395.56,3.14,11.04,5.38,36.71,10.96,1.11,1.39,0.65,4.64,2.95,1.26,0.11,2.54,11.94,2.75,395.56,3.63,5.09,10.81,2.69,12.84,12.87,0.0,1.35,0.11,2.54,1.15,5.28,5.8,395.56,0.31,8.16,0.39,13.48,1.83,2.38,13.41,32.19,8.04,1.54,1.02,3.86,8881000.0,76090.0,354500.0,1.76,19.8,5125000.0,6.68,1218000.0,21.1,13.0,405587.0,61310.0,11.8,88230000.0,28.0,0.0,15.0,4446000.0,19458000.0,35.5,1.0,0.0,26.0,73220.0,2.2,160000.0,169600.0,12.92,339.0,80.584,19250195.0,No,Yes,19250195.0,252500000000.0,19250195.0,87.89,0.11,19250195.0,19250195.0,0.28,No mosquitoes that spread Zika
